,Country Name,Time,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Age dependency ratio (% of working-age population) [SP.POP.DPND],"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]","Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",Life expectancy at birth (years)
147,Solomon Islands,2016,SLB,58.63657379,1379.254077,78.49204268,22.2,106.3385925,4.452,0.264594681,1.195438446,1451.006365,1830,11.00090227,0.508769983,68.54479987,61.80406298,91.33889662,77.60587803,42.9,37.13049107,75.71600342,24.2840004,Medium
143,Sierra Leone,2016,SLE,20.3,354.1173926,80.59233822,57.9,86.30818939,4.457,..,0.2319605,457.8330917,490,11.77318438,5.001759358,59.56314329,48.51982657,75.30578861,25.31701683,77.3,1.500920064,94.9280014,5.072000027,Low
50,El Salvador,2016,SLV,96,3190.538061,55.71003994,10.8,293.7859192,2.079,6.219290535,14.80747051,3381.320343,3510,28.99707305,0.107071374,97.06385625,91.80662049,99.26358138,90.91727472,30.6,52.07560623,47.52500153,52.47499847,Medium
148,Somalia,2016,SOM,31.16604233,..,99.09315122,64.2,..,6.265,0.648543358,0.338370447,..,..,1.88,5.335751252,50.81510642,27.36359069,80.88631174,59.94588905,55.8,0.775433533,94.65899658,5.34100008,Low
141,Serbia,2016,SRB,100,4228.556737,50.151027,2.4,496.4156189,1.46,16.38766731,30.3188414,6394.460674,5690,67.05684137,0.017510472,85.5288502,88.37699149,83.27371454,99.49463648,26.4,551.6891975,26.45999908,73.54000092,High
150,South Sudan,2016,SSD,22.01080132,..,84.15082382,63.4,..,4.855,0.00138472,0,..,..,6.679728051,5.407140238,40.81390459,35.67463124,62.59309251,33.53325594,58,0.092314691,91.55200195,8.447999954,Low
138,Sao Tome and Principe,2016,STP,70.0741806,770.5880389,85.2688868,33.9,110.251152,4.426,0.701186358,2.820983432,1263.374506,1700,28,0.610424543,84.20084459,76.95269199,87.1481462,47.62429371,65.3,14.76181807,58.01100159,41.98899841,Medium
156,Suriname,2016,SUR,95.96812439,3271.132616,52.41291854,13.3,356.0515137,2.469,12.6072779,15.76064636,7912.618008,6760,45.4,0.308329313,94.51939812,87.46135623,98.14888177,89.405496,34.3,139.8507315,10.6960001,89.30400085,Medium
145,Slovak Republic,2016,SVK,100,12940.10615,42.46872248,4.8,1174.798584,1.48,24.55972553,15.13402326,19273.51203,16950,80.47585728,0.00846211,99.7875169,100,99.60509406,98.89492586,26.1,3240.776033,10.64599991,89.35399628,High
146,Slovenia,2016,SVN,100,16688.05651,49.83464106,5,1834.160767,1.58,28.41168445,35.13077268,24551.93404,21750,75.49850426,0.01149744,99.53438258,99.39710843,99.6512311,99.13232104,26.9,5630.87821,10.66300011,89.33699799,High
157,Sweden,2016,SWE,100,43722.9401,59.30803456,5.2,5707.058105,1.85,37.41119745,31.56062211,56776.29391,54430,89.65094761,0.008172208,99.99999628,100,100,99.24518362,12.3,6205.932933,6.118000031,93.88200378,High
54,Eswatini,2016,SWZ,69.7984848,2939.644809,74.31957274,53.7,193.782486,3.041,0.62836794,3.77020764,4662.820673,3660,28.57352278,1.40440732,68.94829243,60.41789146,96.78091815,50.89582469,42,26.03268988,41.56299973,58.43700027,Low
142,Seychelles,2016,SYC,100,11565.91232,44.1605506,11.9,784.5978394,2.39,14.66408944,21.76993,13598.33635,13830,56.51470815,0.128231297,96.24901256,..,..,..,35,30947.32617,..,..,Medium
159,Syrian Arab Republic,2016,SYR,89.72550201,..,57.50505392,5.1,..,2.889,5.780594112,19.83814446,..,..,31.86962727,0.094620411,97.05907506,94.86954537,99.01363505,91.85587206,34.9,6.302304472,16.45999908,83.54000092,Low
32,Chad,2016,TCD,10.11441898,570.0351117,100.3706984,63.4,34.61156845,5.947,0.035202031,0.091555496,868.2116954,730,5,7.038785321,38.85259078,29.62310679,70.32286755,30.35664353,73.3,0.343367304,98.91200256,1.088000059,Low
164,Togo,2016,TGO,47.37870026,468.0605972,80.93972163,51.7,38.77137375,4.449,0.649311826,0.450295881,648.7946319,610,11.31,1.811697494,64.02143935,47.29199785,88.46911719,28.39883093,71,3.462072727,89.1309967,10.86900043,Low
162,Thailand,2016,THA,100,4578.153438,40.15754648,15.8,225.3467102,1.537,10.46667116,6.823127089,5911.951214,5690,47.50496562,0.052834078,99.37380508,99.03191438,99.73760026,98.63029247,28.3,146.4811517,51.25899887,48.74100113,High
160,Tajikistan,2016,TJK,99.88729095,817.217852,64.17245312,23.2,55.74301147,3.618,0.069255443,5.40192454,976.1351753,1110,20.47,0.07376898,79.62584952,73.6563298,95.88835859,94.81166654,31.3,5.886712639,48.27799988,51.72200012,Medium
169,Turkmenistan,2016,TKM,100,..,53.81287999,17.2,423.0467224,2.887,0.070641823,11.74420313,6987.068177,6820,17.99032446,0.02448392,98.70372359,97.72062,99.65861,97.35537,28.1,1.94264877,26.6079998,73.39199829,Medium
163,Timor-Leste,2016,TLS,76.5,1131.892898,76.23385146,45.6,79.89393616,4.156,0.054293981,0.208728373,3072.41505,2370,25.24624959,0.645683614,76.65939151,67.49087624,98.20617,75.14233228,61.4,11.48211087,80.08699799,19.91300011,Medium
